order,part,title,status,source_file,book_file,brunch_file,image_count,image_reference_count,image_candidate_count,image_candidates,needs_image,needs_review,issues
1,프롤로그,"침대에 누워 딸깍, “해줘”라고 말하고 싶었다",draft,"CNC_gpt/manuscript/00_침대에 누워 딸깍, ""해줘""라고 말하고 싶었다.md","cnc_book_manuscript/01_침대에_누워_딸깍,_“해줘”라고_말하고_싶었다.md","brunch/posts/01_침대에_누워_딸깍,_“해줘”라고_말하고_싶었다.md",4,0,4,CNC_gpt/image/00/1.png; CNC_gpt/image/00/2.png; CNC_gpt/image/00/3.png; CNC_gpt/image/00/4.png,NO,YES,
2,Part 1. 춘식이를 온보딩하다,"Codex, 니 이름은 이제부터 춘식이여",draft,"CNC_gpt/manuscript/01_Codex, 니 이름은 이제부터 춘식이여.md","cnc_book_manuscript/02_Codex,_니_이름은_이제부터_춘식이여.md","brunch/posts/02_Codex,_니_이름은_이제부터_춘식이여.md",4,0,4,CNC_gpt/image/01/01.png; CNC_gpt/image/01/02.png; CNC_gpt/image/01/03.png; CNC_gpt/image/01/04.png,NO,YES,
3,Part 2. AI에게 일을 시키는 법,"AI에게 일을 맡긴다는 건, 좋은 상사가 되는 일이다",draft,"CNC_gpt/manuscript/02_AI에게 일을 맡긴다는 건, 좋은 상사가 되는 일이다.md","cnc_book_manuscript/03_AI에게_일을_맡긴다는_건,_좋은_상사가_되는_일이다.md","brunch/posts/03_AI에게_일을_맡긴다는_건,_좋은_상사가_되는_일이다.md",6,6,6,CNC_gpt/image/02/D0F26830-FB10-495F-89DF-066ADBEE3E3C_1_105_c.jpeg; CNC_gpt/image/02/useai_1.png; CNC_gpt/image/02/useai_2.png; CNC_gpt/image/02/useai_3.png; CNC_gpt/image/02/useai_4.png; CNC_gpt/image/02/useai_5.png,NO,YES,
4,Part 2. AI에게 일을 시키는 법,프롬프트는 주문이 아니라 업무 명세서다,draft,CNC_gpt/manuscript/03_프롬프트는 주문이 아니라 업무 명세서다.md,cnc_book_manuscript/04_프롬프트는_주문이_아니라_업무_명세서다.md,brunch/posts/04_프롬프트는_주문이_아니라_업무_명세서다.md,4,0,4,CNC_gpt/image/03/1.png; CNC_gpt/image/03/2.png; CNC_gpt/image/03/3.png; CNC_gpt/image/03/4.png,NO,YES,
5,Part 2. AI에게 일을 시키는 법,AI는 평균적 작업자다,draft,CNC_gpt/manuscript/04_AI는 평균적 작업자다.md,cnc_book_manuscript/05_AI는_평균적_작업자다.md,brunch/posts/05_AI는_평균적_작업자다.md,4,0,4,CNC_gpt/image/04/1.png; CNC_gpt/image/04/2.png; CNC_gpt/image/04/3.png; CNC_gpt/image/04/4.png,NO,YES,
6,Part 2. AI에게 일을 시키는 법,"ChatGPT는 편집장, Codex는 시공팀",draft,"CNC_gpt/manuscript/05_ChatGPT는 편집장, Codex는 시공팀.md","cnc_book_manuscript/06_ChatGPT는_편집장,_Codex는_시공팀.md","brunch/posts/06_ChatGPT는_편집장,_Codex는_시공팀.md",4,0,4,CNC_gpt/image/05/1.png; CNC_gpt/image/05/2.png; CNC_gpt/image/05/3.png; CNC_gpt/image/05/4.png,NO,YES,
7,Part 2. AI에게 일을 시키는 법,긴 작업은 프롬프트보다 파이프라인이 먼저다,draft,CNC_gpt/manuscript/06_긴 작업은 프롬프트보다 파이프라인이 먼저다.md,cnc_book_manuscript/07_긴_작업은_프롬프트보다_파이프라인이_먼저다.md,brunch/posts/07_긴_작업은_프롬프트보다_파이프라인이_먼저다.md,4,0,4,CNC_gpt/image/06/1.png; CNC_gpt/image/06/2.png; CNC_gpt/image/06/3.png; CNC_gpt/image/06/4.png,NO,YES,
8,Part 3. 개인 AI 운영체계,AI 대화는 Inbox다,draft,CNC_gpt/manuscript/07_AI 대화는 Inbox다.md,cnc_book_manuscript/08_AI_대화는_Inbox다.md,brunch/posts/08_AI_대화는_Inbox다.md,4,0,4,CNC_gpt/image/07/Pasted Image (1).png; CNC_gpt/image/07/Pasted Image (2).png; CNC_gpt/image/07/Pasted Image (3).png; CNC_gpt/image/07/Pasted Image.png,NO,YES,
9,Part 3. 개인 AI 운영체계,AI 대화는 Distiller다,draft,CNC_gpt/manuscript/08_AI 대화는 Distiller다.md,cnc_book_manuscript/09_AI_대화는_Distiller다.md,brunch/posts/09_AI_대화는_Distiller다.md,4,0,4,CNC_gpt/image/08/Pasted Image (1).png; CNC_gpt/image/08/Pasted Image (2).png; CNC_gpt/image/08/Pasted Image (3).png; CNC_gpt/image/08/Pasted Image.png,NO,YES,
10,Part 3. 개인 AI 운영체계,Markdown으로 남기지 않으면 고급 수다로 끝난다,draft,CNC_gpt/manuscript/09_Markdown으로 남기지 않으면 고급 수다로 끝난다.md,cnc_book_manuscript/10_Markdown으로_남기지_않으면_고급_수다로_끝난다.md,brunch/posts/10_Markdown으로_남기지_않으면_고급_수다로_끝난다.md,4,0,4,CNC_gpt/image/09/1.png; CNC_gpt/image/09/2.png; CNC_gpt/image/09/3.png; CNC_gpt/image/09/4.png,NO,YES,
11,Part 3. 개인 AI 운영체계,lessons.md: 경험을 재사용 가능한 원칙으로 바꾸기,draft,"CNC_gpt/manuscript/10_lessons.md, 경험을 재사용 가능한 원칙으로 바꾸기.md",cnc_book_manuscript/11_lessons.md__경험을_재사용_가능한_원칙으로_바꾸기.md,brunch/posts/11_lessons.md__경험을_재사용_가능한_원칙으로_바꾸기.md,4,0,4,CNC_gpt/image/10/Pasted Image (1).png; CNC_gpt/image/10/Pasted Image (2).png; CNC_gpt/image/10/Pasted Image (3).png; CNC_gpt/image/10/Pasted Image.png,NO,YES,
